,Name,No children,One child,Two children,Three children,Four children,Five children,Six children,Seven children,Eight or more children,Total,Supertotal,Average
0,Albury,7994.0,3203.0,16256.0,18354.0,11032.0,4835.0,2472.0,1064.0,1328.0,29910.0,58544.0,1.9573386827148112
1,Auburn,13888.0,5781.0,15222.0,12006.0,8324.0,4955.0,2904.0,1659.0,2344.0,35371.0,53195.0,1.5039156371038422
2,Ballina,7814.0,3806.0,17024.0,15984.0,8564.0,2915.0,1416.0,665.0,512.0,28583.0,50886.0,1.7802889829619004
3,Balmain,18379.0,4746.0,13404.0,7380.0,2800.0,1050.0,468.0,350.0,392.0,33364.0,30590.0,0.9168564920273349
4,Bankstown,9801.0,4290.0,15124.0,13971.0,9216.0,5355.0,3186.0,1750.0,2520.0,30777.0,55412.0,1.8004353900640089
5,Barwon,6140.0,2788.0,14734.0,17166.0,11968.0,5640.0,3198.0,1512.0,1736.0,27100.0,58742.0,2.16760147601476
6,Bathurst,7661.0,3203.0,16032.0,16722.0,10428.0,4390.0,2154.0,1029.0,1048.0,28583.0,55006.0,1.92443060560473
7,Baulkham Hills,8923.0,4360.0,21594.0,14544.0,5676.0,1760.0,726.0,378.0,352.0,30912.0,49390.0,1.597761387163561
8,Bega,6156.0,3154.0,17540.0,17202.0,10448.0,4285.0,1872.0,826.0,904.0,27825.0,56231.0,2.020880503144654
9,Blacktown,10175.0,5164.0,17214.0,14460.0,8880.0,4400.0,2244.0,1162.0,1560.0,32608.0,55084.0,1.689278704612365
10,Blue Mountains,8632.0,3749.0,17036.0,14997.0,7636.0,3160.0,1422.0,567.0,608.0,28831.0,49175.0,1.705629357289029
11,Cabramatta,10602.0,3833.0,16380.0,14433.0,8996.0,4740.0,2808.0,1848.0,3392.0,31781.0,56430.0,1.7755891885088575
12,Camden,9410.0,4024.0,19412.0,17772.0,9076.0,3475.0,1362.0,658.0,584.0,32415.0,56363.0,1.738793768317137
13,Campbelltown,8815.0,3767.0,15214.0,15270.0,9976.0,5000.0,2742.0,1386.0,1568.0,29621.0,54923.0,1.8541912832112353
14,Canterbury,12330.0,5667.0,18238.0,12459.0,6628.0,3050.0,1572.0,903.0,976.0,34048.0,49493.0,1.453624295112782
15,Castle Hill,8699.0,3663.0,20470.0,16263.0,6712.0,2255.0,1062.0,469.0,464.0,30457.0,51358.0,1.686246183143448
16,Cessnock,7120.0,3542.0,17162.0,16443.0,9104.0,3555.0,1746.0,889.0,832.0,28237.0,53273.0,1.8866380989481886
17,Charlestown,7800.0,3377.0,18468.0,16401.0,7640.0,2765.0,1116.0,595.0,544.0,28682.0,50906.0,1.7748413639216234
18,Clarence,6120.0,2937.0,16440.0,18333.0,12024.0,5335.0,2706.0,1176.0,1304.0,28246.0,60255.0,2.1332224031721307
19,Coffs Harbour,7071.0,3356.0,16980.0,17091.0,9576.0,3885.0,1830.0,917.0,808.0,28328.0,54443.0,1.921879412595312
20,Coogee,17061.0,4713.0,14194.0,8475.0,3032.0,910.0,444.0,210.0,256.0,32767.0,32234.0,0.9837336344492935
21,Cootamundra,5790.0,2515.0,13362.0,17712.0,13348.0,6380.0,3114.0,1589.0,1376.0,26417.0,59396.0,2.2484006510958854
22,Cronulla,9275.0,3153.0,18272.0,15858.0,6848.0,1865.0,654.0,308.0,328.0,29136.0,47286.0,1.6229406919275124
23,Davidson,8604.0,3718.0,21512.0,16824.0,6252.0,1920.0,636.0,217.0,208.0,30794.0,51287.0,1.6654867831395725
24,Drummoyne,13518.0,5149.0,17344.0,11499.0,4516.0,1510.0,594.0,315.0,232.0,32774.0,41159.0,1.2558430463172026
25,Dubbo,7039.0,3036.0,14722.0,17328.0,11308.0,5055.0,2706.0,1267.0,1256.0,27826.0,56678.0,2.0368719902249692
26,East Hills,9177.0,3792.0,17432.0,14796.0,8120.0,3410.0,1560.0,861.0,1040.0,29849.0,51011.0,1.7089684746557674
27,Epping,9975.0,4584.0,21774.0,14166.0,6040.0,1715.0,660.0,308.0,448.0,32226.0,49695.0,1.5420778253584062
28,Fairfield,10788.0,4088.0,15680.0,14595.0,10112.0,5860.0,3522.0,2450.0,3600.0,32663.0,59907.0,1.8340936227535745
29,Gosford,8639.0,4025.0,17444.0,15081.0,8076.0,3205.0,1338.0,644.0,632.0,29459.0,50445.0,1.71237991785193
30,Goulburn,7561.0,3216.0,16206.0,17250.0,10224.0,4175.0,1902.0,1029.0,952.0,28604.0,54954.0,1.921199832191302
31,Granville,11097.0,5372.0,15152.0,12837.0,9036.0,4950.0,2670.0,1554.0,1944.0,32489.0,53515.0,1.6471728892856043
32,Hawkesbury,8259.0,3161.0,15760.0,16155.0,8500.0,3235.0,1560.0,665.0,600.0,27893.0,49636.0,1.779514573548919
33,Heathcote,8765.0,3660.0,19330.0,16146.0,6560.0,2195.0,828.0,413.0,384.0,29804.0,49516.0,1.6613877331901759
34,Heffron,25499.0,5280.0,13352.0,7464.0,3184.0,1330.0,636.0,427.0,416.0,41213.0,32089.0,0.7786135442700118
35,Holsworthy,9215.0,3813.0,18496.0,15741.0,8068.0,3665.0,1764.0,917.0,1272.0,30858.0,53736.0,1.7413960723313242
36,Hornsby,9481.0,4457.0,19576.0,14787.0,6092.0,2035.0,852.0,406.0,392.0,30830.0,48597.0,1.5762893285760622
37,Keira,8963.0,3495.0,19558.0,17367.0,7592.0,3050.0,1368.0,581.0,520.0,30906.0,53531.0,1.7320584999676438
