,Name,Average
0,Albury,787.124060150376
1,Auburn,690.8366787100227
2,Ballina,789.4345572273375
3,Balmain,1282.443970117396
4,Bankstown,630.4609804609805
5,Barwon,767.9640061103686
6,Bathurst,796.6205026479098
7,Baulkham Hills,1032.3861651333411
8,Bega,694.1518862745841
9,Blacktown,756.8221728387388
10,Blue Mountains,892.0461932799643
11,Cabramatta,593.8943558880937
12,Camden,949.7932920453632
13,Campbelltown,754.1212974274534
14,Canterbury,759.1700234473636
15,Castle Hill,1058.6253117735887
16,Cessnock,773.3675684702739
17,Charlestown,882.5018840872746
18,Clarence,648.4253574939258
19,Coffs Harbour,737.7870514674127
20,Coogee,1314.2482247607286
21,Cootamundra,726.3403494837172
22,Cronulla,1106.1130634345752
23,Davidson,1192.3036504901202
24,Drummoyne,1122.3280118231721
25,Dubbo,823.8425090681201
26,East Hills,808.2950415822208
27,Epping,1008.5578152049054
28,Fairfield,578.739543456685
29,Gosford,800.6453438241
30,Goulburn,871.3850349599151
31,Granville,709.9275495231108
32,Hawkesbury,902.3748258244311
33,Heathcote,1010.8801172670459
34,Heffron,992.0081795678221
35,Holsworthy,831.3274586886994
36,Hornsby,1019.7955405903441
37,Keira,887.2286700390816
38,Kiama,827.3881149407835
39,Kogarah,754.9165172568355
40,Ku-ring-gai,1178.3270629546023
41,Lake Macquarie,781.8396182882035
42,Lakemba,600.2579488778056
43,Lane Cove,1237.3491137718713
44,Lismore,680.1715645272217
45,Liverpool,670.889748549323
46,Londonderry,767.9964143426295
47,Macquarie Fields,774.4431498593813
48,Maitland,845.6438137583591
49,Manly,1314.268377548076
50,Maroubra,976.0830959959792
51,Miranda,1002.8570661608118
52,Monaro,1026.1949827929723
53,Mount Druitt,716.5103974010518
54,Mulgoa,904.4808641242602
55,Murray,763.2408498544295
56,Myall Lakes,645.4302589817266
57,Newcastle,958.450672402574
58,Newtown,1122.8298857441566
59,North Shore,1496.8452440197736
60,Northern Tablelands,732.8449651314963
61,Oatley,917.6043944778568
62,Orange,823.6492640629555
63,Oxley,648.6117192408003
64,Parramatta,861.6473776544211
65,Penrith,876.4226406572982
66,Pittwater,1113.8956877545684
67,Port Macquarie,733.3337856173677
68,Port Stephens,764.3518430777978
69,Prospect,768.3896711270887
70,Riverstone,986.9446074776732
71,Rockdale,869.9568508705527
72,Ryde,911.1732795398476
73,Seven Hills,902.1001238678957
74,Shellharbour,770.5817787203022
75,South Coast,678.6865201337741
76,Strathfield,853.6556171926921
77,Summer Hill,997.7901757391194
78,Swansea,763.5901937713719
79,Sydney,1284.1815770311036
80,Tamworth,795.7261189780888
81,Terrigal,902.4751575926027
82,The Entrance,786.6960384906077
83,Tweed,736.1618443256926
84,Upper Hunter,858.2332970701879
85,Vaucluse,1415.6217590152505
86,Wagga Wagga,835.1582146798618
87,Wakehurst,1043.5373108958015
88,Wallsend,787.6011890219073
89,Willoughby,1257.9385724359477
90,Wollondilly,889.8335825441658
91,Wollongong,755.7823423140367
92,Wyong,746.1973454355539
93,No usual address (NSW),585.0870827285922
94,Migratory - Offshore - Shipping (NSW),692.2033898305084
95,,
