,Unnamed: 0,Average
1,Banks,646.4397576442198
2,Barton,631.405045935251
3,Bennelong,736.5733835262921
4,Berowra,793.8207976187196
5,Blaxland,446.4889224831504
6,Bradfield,873.4865929073765
7,Calare,571.2186449924983
8,Chifley,508.50987731458497
9,Cook,778.0628865238027
10,Cowper,521.1741002498085
11,Cunningham,644.6545909731564
12,Dobell,567.3044468821197
13,Eden-Monaro,666.0921020524361
14,Farrer,547.227422689214
15,Fowler,455.8422382561574
16,Gilmore,548.7060856848473
17,Grayndler,915.1296868520674
18,Greenway,644.0457640473222
19,Hughes,754.7079452206698
20,Hume,637.2674136866632
21,Hunter,586.3148613485038
22,Kingsford Smith,756.2813507195061
23,Lindsay,614.8091600761438
24,Lyne,518.2420263953808
25,Macarthur,573.3077706455992
26,Mackellar,801.7145894877093
27,Macquarie,667.9247884276836
28,McMahon,518.255007634417
29,Mitchell,769.8274682306941
30,New England,535.264484035619
31,Newcastle,680.2797010768296
32,North Sydney,1025.6475817835121
33,Page,502.6521460400862
34,Parkes,548.1124406581258
35,Parramatta,604.4495073098474
36,Paterson,571.7251272231931
37,Reid,752.9413224370958
38,Richmond,552.8503508576885
39,Riverina,555.1380062905193
40,Robertson,635.7345264467257
41,Shortland,617.449803783144
42,Sydney,910.3378726040195
43,Warringah,983.893059307424
44,Watson,502.72586338075706
45,Wentworth,1050.1166479390483
46,Werriwa,511.5914596327806
47,Whitlam,584.2614968380822
