,DivisionName,PreferenceVotes,PartyAb
0,Banks,46050,LNP
1,Barton,44929,ALP
2,Bennelong,51139,LNP
3,Berowra,63720,LNP
4,Blaxland,47545,ALP
5,Bradfield,64269,LNP
6,Calare,62304,LNP
7,Chifley,46810,ALP
8,Cook,57619,LNP
9,Cowper,62402,LNP
10,Cunningham,56024,ALP
11,Dobell,45510,ALP
12,Eden-Monaro,48797,LNP
13,Farrer,68181,LNP
14,Fowler,50870,ALP
15,Gilmore,51926,LNP
16,Grayndler,58716,ALP
17,Greenway,43813,ALP
18,Hughes,55591,LNP
19,Hume,55187,LNP
20,Hunter,51748,ALP
21,Kingsford Smith,45411,ALP
22,Lindsay,46446,LNP
23,Lyne,59786,LNP
24,Macarthur,42671,LNP
25,Mackellar,62322,LNP
26,Macquarie,48987,LNP
27,McMahon,45836,ALP
28,Mitchell,61729,LNP
29,New England,59593,LNP
30,Newcastle,56327,ALP
31,North Sydney,58028,LNP
32,Page,52521,LNP
33,Parkes,63562,LNP
34,Parramatta,41293,ALP
35,Paterson,46452,ALP
36,Reid,44425,LNP
37,Richmond,47329,ALP
38,Riverina,65840,LNP
39,Robertson,48364,LNP
40,Shortland,54089,ALP
41,Sydney,50931,ALP
42,Warringah,55340,LNP
43,Watson,46584,ALP
44,Wentworth,56756,LNP
45,Werriwa,44552,ALP
46,Whitlam,51604,ALP
