Name,Oceanian,North-West European,Southern and Eastern European,North African and Middle Eastern,South-East Asian,North-East Asian,Southern and Central Asian,Peoples of the Americas,Sub-Saharan African,Supplementary codes,Not stated,Total,,
Albury,"22,851","44,146","2,110",192,624,434,"1,519",117,127,179,"6,338","78,643",,
Auburn,"8,071","10,672","4,851","18,601","5,416","27,441","17,226",555,"1,024",806,"9,025","103,687",,
Ballina,"18,816","42,558","2,497",302,360,572,317,395,173,175,"7,117","73,281",,
Balmain,"12,938","39,195","7,959","1,427","2,387","8,285","1,611","1,096",316,253,"7,303","82,774",,
Bankstown,"9,822","11,228","8,329","20,262","13,585","8,614","4,904",444,975,666,"6,691","85,526",,
Barwon,"29,745","35,810","1,349",103,361,295,433,84,128,148,"8,897","77,346",,
Bathurst,"23,943","42,142","1,844",278,458,535,535,124,114,176,"7,933","78,083",,
Baulkham Hills,"12,473","26,195","6,156","3,327","2,069","16,337","8,889",660,530,264,"2,247","79,148",,
Bega,"19,974","40,949","2,137",108,371,331,206,198,106,142,"5,530","70,055",,
Blacktown,"15,895","22,167","7,321","5,032","8,491","4,319","17,646",667,822,691,"4,654","87,706",,
Blue Mountains,"17,165","43,966","3,622",282,594,904,399,397,183,196,"3,619","71,328",,
Cabramatta,"7,139","8,023","10,448","8,833","26,113","13,692","1,355","1,260",310,261,"4,355","81,787",,
Camden,"22,087","39,423","11,483","2,751","1,527","1,760","2,333","1,068",648,324,"4,801","88,206",,
Campbelltown,"21,074","32,110","5,280","3,039","4,101","1,723","3,976","1,114",735,401,"5,294","78,843",,
Canterbury,"8,875","13,606","19,851","9,145","5,987","16,778","6,594",927,549,410,"5,301","88,013",,
Castle Hill,"14,165","30,373","8,203","3,714","2,680","9,307","6,694",674,984,321,"2,707","79,827",,
Cessnock,"24,744","42,224","1,523",131,424,405,552,113,117,159,"6,250","76,641",,
Charlestown,"21,010","41,861","3,266",172,488,838,533,198,171,138,"3,364","72,041",,
Clarence,"24,134","40,908","1,098",47,365,289,217,129,67,143,"6,123","73,511",,
Coffs Harbour,"20,262","40,566","1,964",309,876,655,"1,720",199,497,220,"5,672","72,949",,
Coogee,"12,481","40,719","9,804","1,953","1,501","4,755","1,317","1,592",771,386,"7,889","83,167",,
Cootamundra,"23,995","38,173","1,037",279,317,405,280,84,70,78,"7,044","71,783",,
Cronulla,"18,783","40,878","6,275",653,716,"1,466",478,452,244,123,"3,660","73,727",,
Davidson,"13,390","35,834","4,531","1,513",810,"13,901","3,005",614,"1,439",252,"3,011","78,297",,
Drummoyne,"9,669","24,101","17,441","3,140","1,726","15,169","3,080",773,337,168,"4,644","80,243",,
Dubbo,"26,629","38,623","1,168",211,451,583,"1,052",106,182,168,"7,398","76,568",,
East Hills,"14,022","21,642","10,495","10,209","5,983","7,077","2,692",579,474,289,"3,877","77,345",,
Epping,"10,006","24,550","3,867","1,921","1,660","24,918","8,733",463,597,191,"3,025","79,930",,
Fairfield,"8,595","9,866","8,284","21,479","18,505","10,244","2,462","1,540",397,367,"5,240","86,988",,
Gosford,"19,755","40,953","3,272",409,995,"1,701",969,455,292,193,"4,854","73,846",,
Goulburn,"22,488","42,631","2,262",237,423,645,466,185,190,155,"6,079","75,763",,
Granville,"10,597","12,920","6,947","20,921","4,060","8,426","18,603",706,"1,028",784,"6,063","91,055",,
Hawkesbury,"20,897","39,092","6,299",786,476,829,429,227,199,176,"4,516","73,932",,
Heathcote,"20,826","42,036","5,260",719,704,"1,726",917,541,332,184,"2,887","76,145",,
Heffron,"11,717","30,946","12,516","3,444","5,601","24,536","4,304","2,015",523,411,"8,210","104,218",,
Holsworthy,"15,180","21,230","12,242","11,030","5,422","3,817","8,124","1,300",775,411,"4,891","84,406",,
Hornsby,"15,321","35,963","4,409","2,101","1,984","10,361","4,643",652,529,249,"2,810","79,022",,
Keira,"19,014","41,308","8,387","1,447","1,071","1,773","1,034",480,286,183,"3,393","78,384",,
Kiama,"20,095","41,095","3,206",179,405,468,293,234,128,137,"5,038","71,284",,
Kogarah,"7,734","13,193","15,965","5,717","3,789","30,235","8,814","1,005",260,355,"4,889","91,950",,
Ku-ring-gai,"12,667","34,204","3,913","2,168","1,465","15,637","4,902",674,869,225,"3,506","80,223",,
Lake Macquarie,"21,635","41,748","2,096",122,519,521,316,202,179,147,"3,590","71,071",,
Lakemba,"9,486","9,460","8,633","24,574","8,121","9,837","12,695",524,910,753,"6,619","91,625",,
Lane Cove,"12,966","33,859","9,100","2,492","2,019","10,979","4,515",965,425,261,"4,329","81,907",,
Lismore,"21,501","41,585","2,249",113,420,430,469,212,148,233,"6,585","73,942",,
Liverpool,"12,292","13,447","13,873","15,374","11,246","4,437","8,602","2,213",913,629,"8,121","91,134",,
