Name,0-9 years,10-19 years,20-29 years,30-39 years,40-49 years,50-59 years,60-69 years,70-79 years,80-89 years,90-99 years,100 years and over,Total
Albury,"9,799","9,871","8,974","8,946","9,682","10,642","9,953","6,659","3,341",769,17,"78,643"
Auburn,"13,907","11,065","21,903","19,614","12,367","11,257","7,483","3,784","1,853",446,10,"103,687"
Ballina,"7,919","8,274","6,025","7,789","10,130","11,412","11,186","6,216","3,388",919,19,"73,281"
Balmain,"9,276","6,227","15,627","15,900","12,948","9,513","7,566","3,777","1,579",355,4,"82,774"
Bankstown,"13,089","11,456","13,007","12,076","10,607","10,199","7,453","4,292","2,703",630,9,"85,526"
Barwon,"10,511","8,793","8,643","8,300","9,150","11,365","9,914","6,732","3,316",611,12,"77,346"
Bathurst,"9,654","10,127","9,610","8,412","9,906","10,586","9,801","6,420","2,979",558,16,"78,083"
Baulkham Hills,"10,967","10,401","8,824","10,485","11,628","10,517","8,905","5,250","1,828",347,8,"79,148"
Bega,"6,656","7,417","4,805","5,590","7,859","11,187","13,298","8,492","3,903",831,16,"70,055"
Blacktown,"12,849","10,681","13,295","15,007","11,020","10,104","7,897","4,209","2,185",460,3,"87,706"
Blue Mountains,"8,490","8,885","6,292","7,641","10,020","10,532","10,495","5,855","2,543",561,13,"71,328"
Cabramatta,"9,969","11,448","12,310","10,232","10,909","11,510","8,474","4,147","2,291",478,11,"81,787"
Camden,"14,201","12,590","11,741","13,291","12,798","9,820","7,446","4,026","1,827",473,5,"88,206"
Campbelltown,"11,469","10,996","11,725","10,929","9,711","9,515","8,375","4,316","1,550",258,5,"78,843"
Canterbury,"10,601","9,878","13,162","13,443","12,412","10,955","7,982","5,698","3,263",605,13,"88,013"
Castle Hill,"11,157","12,632","8,685","9,884","12,850","10,348","7,974","4,288","1,674",330,4,"79,827"
Cessnock,"11,076","9,803","9,481","10,136","10,001","9,553","8,830","4,913","2,333",514,8,"76,641"
Charlestown,"9,309","8,910","8,054","8,935","9,845","9,248","7,813","5,922","3,310",689,6,"72,041"
Clarence,"8,321","8,832","6,273","6,479","8,598","10,978","11,619","7,785","3,849",757,26,"73,511"
Coffs Harbour,"8,817","8,868","7,452","7,683","9,130","10,324","10,221","6,437","3,239",765,14,"72,949"
Coogee,"9,716","6,829","13,973","17,401","12,273","8,909","6,447","4,215","2,573",818,23,"83,167"
Cootamundra,"8,904","8,823","6,685","7,179","8,529","10,062","10,119","7,117","3,573",766,32,"71,783"
Cronulla,"9,017","8,979","8,872","9,385","10,500","10,095","8,182","5,037","3,075",568,8,"73,727"
Davidson,"10,264","11,889","6,860","7,618","12,142","10,641","7,945","6,364","3,591",964,21,"78,297"
Drummoyne,"9,501","7,418","12,094","13,661","11,332","9,773","7,855","4,986","2,908",700,8,"80,243"
Dubbo,"11,107","9,504","9,257","9,200","9,505","10,149","8,634","5,870","2,786",541,22,"76,568"
East Hills,"10,364","9,954","9,999","10,319","10,326","9,978","7,723","4,834","3,001",838,12,"77,345"
Epping,"9,075","11,127","10,074","8,947","11,192","11,428","8,310","5,068","3,526","1,163",18,"79,930"
Fairfield,"11,793","11,731","12,968","11,570","11,386","11,194","8,161","4,866","2,753",565,5,"86,988"
Gosford,"8,407","7,961","8,138","8,646","9,705","10,304","9,291","6,798","3,646",940,17,"73,846"
Goulburn,"9,130","9,489","7,204","7,809","10,271","10,970","10,486","6,837","2,951",590,17,"75,763"
Granville,"13,967","10,244","15,728","16,717","11,008","9,559","6,946","4,144","2,246",482,11,"91,055"
Hawkesbury,"9,628","10,422","9,569","8,406","10,663","10,365","7,918","4,649","1,913",398,9,"73,932"
