Name,Year 12 or equivalent,Year 11 or equivalent,Year 10 or equivalent,Year 9 or equivalent,Year 8 or below,Did not go to school,Not stated,Not applicable,Total
Albury,"24,108","7,003","16,816","5,448","3,591",343,"6,535","14,804","78,643"
Auburn,"50,884","3,508","9,495","3,214","5,280","3,675","8,454","19,182","103,687"
Ballina,"27,801","4,274","15,320","4,041","2,338",151,"7,139","12,209","73,281"
Balmain,"51,356","2,388","6,018","1,674","1,526",392,"7,072","12,355","82,774"
Bankstown,"35,031","3,463","11,233","3,730","5,009","2,322","5,899","18,833","85,526"
Barwon,"17,795","4,545","18,893","6,547","5,050",274,"9,071","15,163","77,346"
Bathurst,"23,053","4,243","19,142","5,326","3,409",180,"8,087","14,635","78,083"
Baulkham Hills,"43,414","3,119","9,875","2,542","1,424",365,"2,310","16,104","79,148"
Bega,"21,982","4,935","17,416","5,218","3,327",137,"6,525","10,518","70,055"
Blacktown,"38,879","3,797","13,550","4,077","3,721",979,"4,681","18,028","87,706"
Blue Mountains,"31,653","3,680","14,224","3,391","1,495",129,"3,752","13,002","71,328"
Cabramatta,"32,707","3,645","10,484","3,968","6,651","4,834","4,139","15,360","81,787"
Camden,"31,010","4,549","19,350","4,812","2,737",436,"4,542","20,766","88,206"
Campbelltown,"26,972","4,394","16,956","5,101","2,894",574,"5,046","16,910","78,843"
Canterbury,"43,701","3,088","9,912","2,990","5,609","2,108","5,214","15,389","88,013"
Castle Hill,"40,687","3,328","11,154","2,788","1,396",337,"2,449","17,682","79,827"
Cessnock,"17,720","4,581","21,263","6,927","3,575",155,"6,303","16,124","76,641"
Charlestown,"26,233","3,727","16,626","5,232","2,509",186,"3,659","13,855","72,041"
Clarence,"17,682","4,269","20,962","6,558","4,420",190,"6,739","12,684","73,511"
Coffs Harbour,"23,087","4,490","17,580","5,181","3,070",350,"5,835","13,351","72,949"
Coogee,"50,675","2,539","5,982","1,498","1,223",234,"7,741","13,281","83,167"
Cootamundra,"16,978","4,043","19,092","6,103","4,219",217,"7,566","13,567","71,783"
Cronulla,"33,914","3,409","14,410","3,186","1,385",163,"3,644","13,614","73,727"
Davidson,"45,575","3,013","6,870","2,158","1,117",239,"2,994","16,331","78,297"
Drummoyne,"45,262","2,544","8,614","2,345","2,874",720,"4,592","13,290","80,243"
Dubbo,"21,706","4,266","18,444","5,270","3,373",201,"7,294","16,006","76,568"
East Hills,"32,642","3,263","13,663","3,917","3,359",979,"4,122","15,391","77,345"
Epping,"48,247","2,836","7,409","2,400","1,185",397,"3,131","14,335","79,930"
Fairfield,"33,135","3,841","11,084","4,398","7,232","4,636","5,159","17,497","86,988"
Gosford,"26,263","4,051","17,400","5,212","2,718",215,"5,641","12,346","73,846"
Goulburn,"25,588","4,137","17,292","4,879","2,926",237,"6,689","14,017","75,763"
Granville,"41,334","3,359","11,263","3,365","4,674","2,404","5,535","19,118","91,055"
Hawkesbury,"24,180","4,153","18,844","4,762","2,551",224,"4,463","14,760","73,932"
Heathcote,"32,780","3,593","16,180","3,530","1,480",145,"3,062","15,380","76,145"
Heffron,"68,231","3,402","7,390","1,981","2,692",937,"7,960","11,621","104,218"
Holsworthy,"35,541","3,976","13,305","3,462","3,389","1,107","4,364","19,247","84,406"
Hornsby,"42,167","3,240","10,541","2,581","1,386",396,"2,879","15,839","79,022"
Keira,"31,915","3,788","15,980","4,605","3,032",345,"3,651","15,066","78,384"
Kiama,"23,315","4,101","17,880","4,960","2,460",156,"5,642","12,767","71,284"
Kogarah,"51,590","3,097","9,064","2,754","3,961","1,533","5,189","14,749","91,950"
Ku-ring-gai,"48,327","2,855","6,169","2,067",960,252,"3,553","16,034","80,223"
Lake Macquarie,"21,585","4,252","19,516","6,113","2,951",182,"4,315","12,154","71,071"
Lakemba,"39,838","3,410","10,530","3,267","5,460","2,647","5,795","20,678","91,625"
Lane Cove,"48,166","2,810","7,405","2,203","1,563",370,"4,328","15,054","81,907"
Lismore,"22,761","4,469","18,253","4,985","3,511",184,"6,807","12,979","73,942"
Liverpool,"35,581","4,136","12,378","4,082","4,939","2,423","7,135","20,470","91,134"
Londonderry,"27,709","4,942","20,049","5,941","4,196",631,"7,720","20,625","91,818"
Macquarie Fields,"35,126","4,133","15,546","4,308","2,939",666,"4,974","18,671","86,364"
Maitland,"22,462","4,709","20,178","5,888","2,748",152,"4,158","16,880","77,175"
Manly,"45,959","3,010","7,687","1,898",961,145,"4,743","15,918","80,325"
Maroubra,"40,844","3,062","10,082","2,880","2,720",612,"7,527","13,990","81,714"
