,Oceanian,North-West European,Southern and Eastern European,North African and Middle Eastern,South-East Asian,North-East Asian,Southern and Central Asian,Peoples of the Americas,Sub-Saharan African,Supplementary codes,Not stated,Total
,,,,,,,,,,,,
Banks,"23,953","42,607","22,512","9,718","6,854","31,853","8,276","1,482",734,578,"7,247","155,804"
Barton,"17,157","31,200","37,008","13,581","9,280","35,465","14,068","2,647",629,707,"11,109","172,852"
Bennelong,"19,752","44,786","14,428","6,121","5,681","53,307","15,231","1,316",663,546,"7,112","168,948"
Berowra,"27,115","63,224","9,798","4,346","2,609","20,074","9,719",943,"1,141",418,"5,740","145,132"
Blaxland,"18,663","21,528","14,452","40,178","19,565","24,775","19,108",842,"1,854","1,328","12,338","174,633"
Bradfield,"23,707","63,599","8,157","3,949","3,167","37,679","9,279","1,305","2,262",519,"6,651","160,251"
Calare,"50,781","86,293","3,879",536,939,"1,184","1,408",239,362,347,"15,330","161,298"
Chifley,"36,993","44,319","11,834","10,194","20,656","5,387","26,044","1,371","1,828","1,518","11,092","171,251"
Cook,"29,574","62,128","22,731","4,189","2,099","6,809","1,983","1,384",483,331,"7,343","139,060"
Cowper,"47,378","89,888","3,826",470,"1,329","1,076","1,201",410,587,374,"12,785","159,322"
Cunningham,"34,720","75,315","20,878","3,728","2,650","4,739","2,603","1,074",650,467,"8,563","155,381"
Dobell,"45,453","86,543","6,040",599,"1,359","1,689","1,165",622,416,423,"9,771","154,063"
Eden-Monaro,"42,408","79,669","7,500",452,"1,194","1,230","1,893",453,354,361,"12,024","147,532"
Farrer,"47,628","83,967","10,302",470,"1,272","1,164","3,431",226,325,336,"14,850","163,981"
Fowler,"15,530","18,885","23,918","24,197","37,567","20,855","6,830","2,836",978,822,"11,821","164,235"
Gilmore,"42,921","86,481","5,857",298,859,958,624,429,264,323,"11,416","150,435"
Grayndler,"23,419","65,534","20,056","3,351","5,978","10,818","5,426","2,016",659,517,"11,733","149,514"
Greenway,"29,442","48,124","14,046","7,527","9,673","9,788","38,172","1,326","1,784","1,127","9,064","170,068"
Hughes,"36,254","70,337","13,800","3,920","2,882","5,057","4,508","1,134",735,416,"5,262","144,288"
Hume,"44,363","80,088","9,806","1,366","1,137","1,312","1,272",852,547,383,"9,520","150,643"
Hunter,"49,814","87,828","3,513",291,"1,047",994,950,301,364,378,"11,332","156,796"
Kingsford Smith,"24,551","60,901","24,273","5,927","7,034","26,919","6,328","3,404","1,405",805,"14,695","176,232"
Lindsay,"43,518","76,033","14,014","3,926","4,396","3,045","7,715",850,"1,041",806,"11,180","166,527"
Lyne,"46,788","83,025","2,832",238,608,618,426,292,191,276,"10,182","145,480"
Macarthur,"40,623","61,512","14,101","6,573","7,865","4,123","12,636","2,314","1,642",891,"9,739","162,020"
Mackellar,"31,904","83,027","11,721","1,100","2,019","5,184","2,911","1,643",831,383,"7,885","148,607"
Macquarie,"37,146","82,009","9,065",731,"1,057","1,609",740,622,345,363,"7,769","141,441"
McMahon,"24,819","32,799","21,565","36,329","13,971","9,966","12,233","2,378","1,286",916,"9,438","165,697"
Mitchell,"26,498","54,629","13,792","7,468","4,793","22,275","15,663","1,392","1,491",613,"4,834","153,450"
New England,"51,667","81,490","1,974",638,"1,231","1,580","1,228",298,331,344,"13,416","154,187"
Newcastle,"40,229","84,388","8,248","1,135","1,735","3,789","2,748",563,695,536,"8,893","152,949"
North Sydney,"23,981","69,979","12,485","3,232","3,851","26,663","8,147","1,964",970,575,"9,662","161,524"
Page,"48,534","89,513","3,683",184,825,899,"1,505",371,277,382,"12,924","159,107"
Parkes,"57,515","73,697","2,311",327,803,913,"1,511",201,362,427,"15,697","153,770"
Parramatta,"19,964","32,934","9,997","21,541","7,160","32,132","45,657","1,320","1,304","1,277","13,042","186,324"
Paterson,"48,538","88,322","3,968",270,"1,008","1,042","1,026",319,419,405,"10,312","155,632"
Reid,"16,243","38,495","25,906","8,051","6,564","51,384","18,378","1,520",700,600,"13,505","181,347"
Richmond,"40,709","89,158","4,746",449,971,"1,322",888,704,302,360,"13,302","152,911"
Riverina,"50,805","83,644","2,458",802,"1,186","1,225","1,684",194,450,366,"12,970","155,790"
Robertson,"38,146","82,868","6,091",687,"1,431","2,553","1,333",746,621,350,"8,289","143,099"
Shortland,"43,514","84,526","5,274",328,843,"1,298",754,356,274,313,"7,007","144,483"
Sydney,"20,873","69,971","16,355","3,962","12,918","40,387","5,504","3,562",826,734,"25,081","200,179"
Warringah,"26,654","83,414","11,409","1,337","1,931","7,132","2,682","2,213",935,404,"9,224","147,334"
Watson,"17,567","22,984","24,359","33,181","13,399","27,520","20,555","1,429","1,439","1,075","11,300","174,807"
Wentworth,"22,110","68,896","19,506","4,470","1,873","5,848","1,650","2,679","3,134",989,"14,791","145,952"
Werriwa,"25,541","29,597","26,960","25,011","19,976","9,239","16,918","3,716","1,574",832,"11,538","170,906"
Whitlam,"39,027","81,645","15,763","1,865","1,532","1,404","1,057",835,414,343,"8,408","152,281"
Total,"1,616,938","3,126,624","597,694","309,515","259,019","566,859","365,303","59,167","40,930","27,646","510,540","7,480,230"
