,Negative income,Nil income,"75 Bracket","225 Bracket","350 Bracket","450 Bracket","575 Bracket","725 Bracket","900 Bracket","1125 Bracket","1375 Bracket","1625 Bracket","1875 Bracket","2500 Bracket","3000 Bracket",Not stated,Not applicable,Total
,,,,,,,,,,,,,,,,,,
Banks,697,"15,185","5,502","8,843","10,775","10,235","9,245","9,635","10,863","11,218","7,553","6,198","4,478","6,560","3,329","8,081","27,413","155,804"
Barton,878,"18,236","5,375","9,302","12,286","11,344","10,149","10,736","12,450","12,729","8,450","6,867","4,623","7,039","3,017","11,811","27,569","172,852"
Bennelong,726,"19,640","6,311","8,577","9,035","8,933","8,609","8,691","10,223","12,214","8,756","8,009","6,043","10,350","6,135","8,294","28,399","168,948"
Berowra,428,"12,840","6,136","6,739","7,096","7,172","7,640","7,492","8,350","9,322","7,228","6,782","5,295","10,050","7,894","6,673","28,000","145,132"
Blaxland,"1,319","20,136","5,932","13,271","14,562","12,048","10,449","10,696","11,165","9,939","5,793","3,987","2,415","2,859",970,"12,207","36,885","174,633"
Bradfield,561,"16,525","6,596","6,523","6,141","6,444","6,904","6,822","8,198","9,269","7,386","7,027","5,617","11,679","14,980","7,698","31,880","160,251"
Calare,610,"8,898","5,022","9,618","12,672","12,476","10,327","10,161","10,193","9,727","6,294","5,349","4,019","5,550","2,456","15,881","32,032","161,298"
Chifley,982,"16,024","5,269","10,149","11,907","10,382","9,337","11,380","13,215","12,533","7,600","5,206","3,235","3,318",894,"10,593","39,229","171,251"
Cook,437,"9,311","4,514","6,013","7,601","8,215","7,957","8,255","9,228","10,217","7,742","7,113","5,124","8,032","5,966","8,458","24,889","139,060"
Cowper,552,"7,527","5,244","10,934","16,631","15,608","12,588","11,818","10,608","9,003","5,311","3,875","2,869","3,150","1,667","14,526","27,400","159,322"
Cunningham,540,"11,333","5,894","10,301","12,591","12,088","9,765","8,945","9,089","9,763","6,969","6,245","4,781","6,931","3,425","9,571","27,152","155,381"
Dobell,544,"9,068","5,219","9,022","12,869","13,101","10,915","10,563","10,739","10,083","6,344","5,122","3,403","4,210","1,895","11,016","29,956","154,063"
Eden-Monaro,471,"7,287","4,707","7,645","10,503","10,199","9,472","9,548","10,163","10,279","7,328","6,303","4,236","6,812","3,187","12,751","26,633","147,532"
Farrer,707,"8,261","5,113","9,517","13,132","12,671","11,787","11,701","12,468","10,895","6,665","4,920","3,206","3,643","1,965","15,932","31,391","163,981"
Fowler,"1,179","17,700","5,918","13,932","15,415","12,268","9,322","10,134","10,667","9,587","5,601","3,782","2,266","2,474",999,"11,657","31,328","164,235"
Gilmore,595,"7,435","5,140","10,353","15,799","14,281","12,071","10,588","9,643","8,795","5,361","4,228","3,004","3,652","1,893","13,369","24,228","150,435"
