District,No children,One child,Two children,Three children,Four children,Five children,Six children,Seven children,Eight or more children,Not stated,Not applicable,Total
,,,,,,,,,,,,
Banks,"21,085","9,687","18,051","8,666","3,182",976,385,200,176,"4,275","89,121","155,804"
Barton,"27,942","10,983","16,822","7,344","2,744",927,416,161,206,"6,360","98,951","172,852"
Bennelong,"27,099","10,909","18,472","7,907","2,560",751,325,115,103,"4,504","96,193","168,948"
Berowra,"16,354","6,897","19,213","10,029","3,237",810,270,103,102,"3,331","84,797","145,132"
Blaxland,"20,336","8,784","14,634","8,968","4,557","2,102","1,013",472,603,"6,122","107,036","174,633"
Bradfield,"20,158","9,423","20,422","9,971","2,923",734,224,85,79,"3,867","92,376","160,251"
Calare,"15,364","6,519","16,440","11,908","5,505","1,907",801,339,303,"6,150","96,056","161,298"
Chifley,"18,579","8,619","15,783","10,192","5,111","2,106","1,070",468,560,"5,248","103,506","171,251"
Cook,"17,587","7,102","17,330","9,499","3,046",736,244,96,94,"3,811","79,519","139,060"
Cowper,"15,073","7,325","18,679","12,631","5,640","1,950",716,330,227,"6,202","90,552","159,322"
Cunningham,"19,806","6,984","17,835","10,447","3,654","1,193",449,201,142,"4,564","90,106","155,381"
Dobell,"15,508","7,303","18,077","11,708","4,769","1,565",593,236,182,"5,184","88,948","154,063"
Eden-Monaro,"15,202","6,653","16,260","10,432","4,384","1,445",561,226,207,"5,568","86,600","147,532"
Farrer,"15,150","6,199","16,289","13,028","6,215","2,140",858,379,317,"6,802","96,609","163,981"
Fowler,"20,233","8,131","16,083","9,501","4,249","1,775",854,509,738,"6,043","96,113","164,235"
Gilmore,"13,464","6,446","18,419","12,529","5,371","1,676",601,210,165,"5,612","85,935","150,435"
Grayndler,"30,469","9,005","12,774","4,682","1,483",444,166,104,120,"6,141","84,136","149,514"
Greenway,"18,548","9,748","19,428","8,856","3,323","1,154",462,202,172,"3,981","104,188","170,068"
Hughes,"16,389","6,802","18,617","9,957","2,965",782,256,100,88,"2,606","85,722","144,288"
Hume,"15,303","6,438","16,640","11,084","4,472","1,453",499,210,160,"4,423","89,966","150,643"
Hunter,"14,825","6,900","17,750","11,863","4,980","1,637",644,267,217,"4,960","92,756","156,796"
Kingsford Smith,"33,042","9,576","16,271","6,882","2,164",583,242,119,106,"7,008","100,247","176,232"
Lindsay,"18,693","8,205","17,286","10,510","4,462","1,638",643,275,232,"5,215","99,362","166,527"
Lyne,"12,449","5,889","17,868","12,755","5,584","1,828",668,248,179,"5,117","82,887","145,480"
Macarthur,"17,935","7,969","16,506","10,109","4,576","1,712",728,331,321,"4,614","97,224","162,020"
Mackellar,"17,299","7,371","19,331","9,969","2,995",736,208,71,81,"4,190","86,370","148,607"
Macquarie,"16,482","6,821","16,109","10,099","3,922","1,232",486,174,149,"3,827","82,145","141,441"
McMahon,"19,346","7,759","16,031","10,005","4,750","1,893",857,451,553,"5,005","99,048","165,697"
Mitchell,"17,227","8,033","20,126","9,698","2,909",767,298,124,93,"2,733","91,438","153,450"
New England,"14,991","6,189","15,742","12,038","5,486","2,033",846,337,313,"6,163","90,047","154,187"
Newcastle,"22,319","7,485","16,582","9,056","3,216","1,018",363,150,137,"4,649","87,982","152,949"
North Sydney,"29,511","9,933","15,850","6,966","2,061",493,184,70,62,"5,240","91,142","161,524"
Page,"14,527","6,736","17,699","12,739","5,987","2,075",859,328,289,"5,902","91,970","159,107"
Parkes,"13,171","5,769","14,624","11,487","5,868","2,146",991,400,397,"7,145","91,767","153,770"
Parramatta,"24,776","13,357","16,803","7,340","3,151","1,275",585,252,273,"6,632","111,877","186,324"
Paterson,"14,953","6,988","18,395","11,759","4,781","1,509",583,232,206,"4,829","91,400","155,632"
Reid,"31,890","11,714","16,956","7,179","2,308",727,283,136,129,"6,981","103,036","181,347"
Richmond,"15,675","7,819","18,147","11,392","4,663","1,389",518,225,169,"6,728","86,175","152,911"
Riverina,"14,962","5,676","14,695","12,179","6,406","2,431","1,007",433,354,"5,517","92,142","155,790"
Robertson,"15,765","7,165","17,969","10,628","3,971","1,167",413,167,130,"4,224","81,504","143,099"
Shortland,"14,278","6,698","18,860","11,612","4,208","1,234",460,194,129,"3,608","83,208","144,483"
Sydney,"55,756","8,761","8,163","2,908","1,000",364,154,72,93,"12,376","110,541","200,179"
Warringah,"23,229","7,670","15,984","7,878","2,245",504,134,90,53,"4,787","84,753","147,334"
Watson,"22,752","9,879","15,383","8,535","4,117","1,839",807,413,428,"5,980","104,674","174,807"
Wentworth,"28,998","7,603","12,779","5,941","1,569",337,135,65,55,"7,621","80,855","145,952"
Werriwa,"18,912","7,153","16,888","10,414","4,851","2,002",843,399,490,"5,559","103,398","170,906"
Whitlam,"15,342","6,778","18,565","11,820","4,677","1,581",536,251,190,"4,423","88,124","152,281"
No usual address (NSW),"1,746",350,645,411,184,61,37,16,13,"1,136","7,696","12,288"
Migratory - Offshore - Shipping (NSW),41,18,63,35,21,6,0,0,0,39,190,419
Total,"940,548","372,207","794,325","463,526","186,510","62,849","25,266","11,022","10,588","252,998","4,360,397","7,480,230"
