Name,Nil income,"75 Bracket","225 Bracket","350 Bracket","450 Bracket","575 Bracket","725 Bracket","900 Bracket","1125 Bracket","1375 Bracket","1625 Bracket","1875 Bracket","2500 Bracket","3000 Bracket",Total
Albury,"3,863","2,559","4,640","6,237","6,264","5,767","5,463","5,930","5,362","3,452","2,592","1,634","1,898",982,"56,658"
Auburn,"12,984","3,246","7,081","7,504","6,439","5,890","6,303","6,752","6,326","3,799","2,866","1,866","2,620","1,062","74,730"
Ballina,"3,332","2,370","4,106","6,190","6,585","6,088","5,554","5,150","4,533","2,657","2,152","1,535","1,875","1,325","53,436"
Balmain,"6,313","1,951","3,146","3,654","3,637","3,415","3,408","4,266","5,154","4,347","4,462","3,501","7,463","8,073","62,779"
Bankstown,"9,174","2,953","6,614","7,226","6,023","4,970","5,074","5,215","4,734","2,879","1,908","1,172","1,381",502,"59,829"
Barwon,"3,762","2,041","5,301","6,848","6,416","5,048","4,690","4,495","4,231","2,619","2,169","1,644","2,068","1,034","52,370"
Bathurst,"4,386","2,466","4,900","6,129","6,301","5,068","4,896","5,000","4,726","3,129","2,591","1,894","2,462","1,002","54,949"
Baulkham Hills,"7,680","3,282","3,627","3,765","3,512","3,988","3,956","4,480","5,388","4,222","3,900","3,049","5,670","3,602","60,109"
Bega,"3,141","2,464","5,025","7,647","7,087","5,986","5,368","4,953","4,171","2,387","1,617","1,110","1,207",666,"52,829"
Blacktown,"8,357","2,762","5,074","6,047","5,466","4,737","5,797","7,103","6,937","4,348","3,080","1,945","2,168",534,"64,349"
Blue Mountains,"4,425","2,585","3,859","4,745","5,483","4,872","4,468","4,682","4,782","3,475","3,186","2,540","3,435","1,299","53,839"
Cabramatta,"9,810","3,134","7,207","8,015","6,169","4,852","5,322","5,384","4,675","2,622","1,791","1,034","1,086",384,"61,480"
Camden,"6,059","2,673","3,653","4,613","4,299","4,565","5,075","6,031","6,869","5,127","4,344","3,172","4,179","1,503","62,165"
Campbelltown,"6,265","2,525","4,711","5,820","5,163","4,704","5,312","6,023","5,640","3,624","2,634","1,601","1,852",589,"56,481"
Canterbury,"9,221","2,956","5,587","6,950","5,997","5,337","5,540","6,016","6,051","3,878","2,976","2,025","2,764","1,239","66,532"
Castle Hill,"7,414","3,104","3,470","3,442","3,329","3,875","3,909","4,445","5,242","4,063","4,004","3,089","5,650","3,902","58,937"
Cessnock,"4,506","2,380","4,724","6,754","6,203","4,899","4,951","4,791","4,696","2,822","2,259","1,578","2,427",901,"53,892"
Charlestown,"3,829","2,646","3,993","5,934","5,668","4,744","4,563","4,776","4,952","3,280","2,966","2,162","3,291","1,590","54,403"
Clarence,"3,627","2,339","5,684","8,799","7,712","5,814","5,456","4,735","3,704","1,972","1,497","1,016","1,035",531,"53,917"
Coffs Harbour,"3,622","2,398","4,842","6,757","6,346","5,637","5,562","5,326","4,312","2,694","1,986","1,398","1,581",793,"53,257"
Coogee,"4,807","1,989","2,613","3,058","3,379","3,337","3,470","4,522","5,795","5,197","5,011","3,826","7,120","7,422","61,541"
Cootamundra,"3,415","2,022","4,438","7,063","6,477","5,412","5,163","4,891","4,061","2,232","1,807","1,183","1,341",880,"50,360"
Cronulla,"4,255","2,597","2,820","3,508","4,019","4,046","4,258","4,764","5,451","4,283","3,963","2,966","4,924","3,931","55,774"
Davidson,"7,210","3,387","3,148","3,017","3,198","3,472","3,360","3,925","4,423","3,442","3,362","2,640","5,501","7,971","58,047"
Drummoyne,"7,255","2,259","3,302","4,084","3,891","3,659","3,778","4,726","5,605","4,266","4,207","3,245","6,102","5,190","61,574"
Dubbo,"3,651","2,277","4,182","5,931","5,544","5,064","5,261","5,227","4,768","2,883","2,406","1,868","2,478","1,111","52,657"
East Hills,"6,840","2,581","4,544","5,663","5,153","4,555","4,669","5,267","5,474","3,628","2,903","2,051","2,815","1,085","57,236"
Epping,"9,374","3,573","3,816","3,801","3,827","3,909","3,782","4,335","5,084","3,804","3,647","2,937","5,703","4,209","61,809"
Fairfield,"8,890","3,291","8,350","9,221","7,026","4,927","5,131","5,471","4,611","2,610","1,683",967,958,342,"63,477"
Gosford,"4,584","2,437","4,358","6,247","6,606","5,339","4,938","5,150","4,864","3,147","2,584","1,790","2,491","1,127","55,668"
Goulburn,"4,063","2,498","3,976","5,485","5,442","5,116","4,976","5,174","5,072","3,247","3,005","2,084","3,009","1,489","54,634"
Granville,"9,521","3,064","6,432","6,766","5,881","4,975","5,461","6,256","5,849","3,751","2,724","1,730","2,297",718,"65,424"
